object,normal_count,abnormal_count,count
path,35,20,55
board,0,1,1
mother,1159,1050,2209
jar,234,311,545
faucet,37,39,76
window,213,124,337
cabinet,149,102,251
cup,59,57,116
towel,12,13,25
dish,415,463,878
table,1,7,8
wall,0,3,3
plant,101,72,173
girl,215,182,397
kids,47,59,106
curtain,97,45,142
cookie,381,344,725
water,321,355,676
stool,299,314,613
garage,11,9,20
corner,0,2,2
floor,84,175,259
yard,12,21,33
mop,0,2,2
lid,31,13,44
handle,2,1,3
bowl,2,2,4
bird,0,1,1
boy,603,592,1195
house,24,21,45
sink,288,264,552
button,0,1,1
