object,normal_count,abnormal_count,count
short sleeve,1,0,1
trees,11,10,21
lawn,0,6,6
lad,0,2,2
window,138,85,223
roof,1,3,4
jars,0,1,1
kid,16,28,44
cabinet,9,9,18
the dish water,1,0,1
cookie jars,0,3,3
wall,0,2,2
short sleeve shirt,1,0,1
tree,18,9,27
the cookie jar,102,0,102
she,149,187,336
running shoes,1,0,1
tabletop,0,1,1
sink counter,1,1,2
cloth,0,5,5
the kitchen cupboard doors,1,0,1
mamas,0,1,1
head,1,3,4
two slippers,1,0,1
boys,0,3,3
backyard,0,2,2
closet,3,0,3
her mouth,33,0,33
apples,0,1,1
her lips,10,0,10
sleeves,2,0,2
Junior,1,0,1
the three legged stool,2,0,2
curtains,73,35,108
each hand,2,0,2
one foot,1,0,1
the mother,1,0,1
her hand,35,0,35
moisture,0,1,1
someone,0,1,1
he,128,159,287
path,14,7,21
closet doors,0,1,1
shelf,3,1,4
blouse,1,1,2
skirt,0,3,3
floors,0,1,1
his right hand,7,0,7
her wrist,1,0,1
kids,14,24,38
cookies,128,142,270
foot,2,5,7
faucets,3,3,6
cabinet drawers,0,1,1
left hand,1,0,1
door,11,7,18
apron,21,16,37
suds,1,0,1
the kitchen stool,1,0,1
neck,1,2,3
her brother,7,0,7
back,3,5,8
leaves,3,1,4
ankle socks,1,0,1
her left hand,3,0,3
board,0,1,1
lip,1,2,3
kid's hand,1,0,1
one arm,1,0,1
hairdo,1,0,1
socks,6,1,7
shorts,5,1,6
spigots,0,2,2
ball,0,3,3
sweater,1,0,1
sandals,2,0,2
his one hand,1,0,1
kitchen,5,0,5
the cookie lids,1,0,1
cover,1,2,3
pants,1,0,1
strap slippers,1,0,1
short pants,1,0,1
short sleeved shirt,1,0,1
wet shoes,1,0,1
the mouth,1,0,1
cups,53,44,97
panes,0,1,1
plates,4,8,12
pipe,0,1,1
short hair,4,0,4
the young lady,1,0,1
corner,0,2,2
pompadour,1,0,1
garden,5,6,11
one hand,4,0,4
sugar bowl set,1,0,1
lane,1,0,1
legs,0,3,3
puddle,1,3,4
cabinets,10,8,18
brother's hand,1,0,1
her hands,3,0,3
table,1,5,6
