object,group,mapping
dishwasher,group2,sink
Johnny,group1,boy
cupboards,group1,cabinet
daughter,group1,girl
door,group1,cabinet
doors,group1,door
female youngster,group1,girl
floor,group1,floor
floors,group1,floor
foot,group1,boy
footstool,group1,stool
girl,group1,girl
girlfriend,group1,girl
girls,group1,girl
ground,group1,ground
cupboard door,group1,cabinet
handles,group1,handles
woman,group1,girl
jar,group1,jar
jars,group1,jar
ladder,group1,ladder
lid,group1,lid
lip,group1,girl
man,group1,boy
she,group1,girl
shelf,group1,shelf
sister,group1,girl
son,group1,boy
stepstool,group1,stool
stool,group1,stool
he,group1,boy
cupboard,group1,cabinet
guy,group1,boy
cover,group1,cover
cabinets,group1,cabinet
cabinet,group1,cabinet
brother,group1,boy
closet,group1,cabinet
boys,group1,boy
cookie,group1,cookie
cookie jar,group1,jar
boy,group1,boy
cookies,group1,cookie
cookies jar,group1,jar
cookie jars,group1,jar
hand,group1-boy-hand,boy
socks,group1-boy-hand,boy
shorts,group1-boy-hand,boy
leg,group1-boy-hand,boy
knee,group1-boy-hand,boy
feet,group1-boy-hand,boy
foot,group1-boy-hand,boy
neck,group1-boy-hand,boy
shoes,group1-boy-hand,boy
sweater,group1-boy-hand,boy
toes,group1-boy-hand,boy
head,group1-boy-hand,boy
hair,group1-boy-hand,boy
shirt,group1-boy-hand,boy
trousers,group1-boy-hand,boy
lid,group1-girl-hand,lid
hair,group1-girl-hand,girl
socks,group1-girl-hand,girl
arm,group1-girl-hand,girl
shoes,group1-girl-hand,girl
skirt,group1-girl-hand,girl
shorts,group1-girl-hand,girl
dress,group1-girl-hand,girl
blouse,group1-girl-hand,girl
face,group1-girl-hand,girl
nose,group1-girl-hand,girl
feet,group1-girl-hand,girl
lips,group1-girl-hand,girl
lip,group1-girl-hand,girl
mouth,group1-girl-hand,girl
hand,group1-girl-hand,girl
finger,group1-girl-hand,girl
the other one,group1-girl-hand,girl
kid,group1-kid-boy,boy
someone,group1-kid-boy,boy
children,group1-kid-boy,kids
child,group1-kid-boy,boy
kid,group1-kid-girl,girl
two,group1-they,kids
kids,group1-they,kids
children,group1-they,kids
they,group1-they,kids
hair,group2,mother
faucets,group2,faucet
faucet,group2,faucet
hand,group2,mother
toe,group2,mother
plate,group2,dish
puddle,group2,puddle
she,group2,mother
dress,group2,mother
doors,group2,cabinet
shoes,group2,mother
dishes,group2,dish
sink,group2,sink
feet,group2,mother
sink counter,group2,sink
basin,group2,dish
slippers,group2,mother
wife,group2,mother
somebody,group2,mother
back,group2,mother
spigot,group2,faucet
spigots,group2,faucet
apron,group2,mother
cupboards,group2,cabinet
dish,group2,dish
mother,group2,mother
water,group2,water
mom,group2,mother
towels,group2,towel
mommy,group2,mother
towel,group2,towel
girl,group2,mother
fountain,group2,fountain
foot,group2,mother
housewife,group2,mother
lady,group2,mother
cloth,group2,towel
woman,group2,mother
cabinet,group2,cabinet
mama,group2,mother
mamas,group2,mother
cabinets,group2,cabinet
floor,group2,floor
moisture,group2,moisture
table,group2,table
cabinet,group3,cabinet
cover,group3,cover
counter,group3,cabinet
cup,group3,cup
sink,group3,sink
table,group3,table
